Grid,xgrid,ygrid,T1_dS2S,T1_dS2S_Uncertainty,T1_Phi,T1_Phi_Uncertainty
2006,139.678973,36.0123128,0.3376,0.5972,50.5,27.94
2007,139.720638,36.0123128,0.3923,0.5934,50.3,28.98
2008,139.762303,36.0123128,0.4858,0.6176,51.26,28.22
2009,139.803968,36.0123128,0.5617,0.5661,49.05,28.89
2010,139.845633,36.0123128,0.6467,0.5861,50.85,28.59
2011,139.887298,36.0123128,0.7449,0.5826,49.37,28.46
2012,139.928963,36.0123128,0.8606,0.5652,49.14,28.88
2013,139.970628,36.0123128,0.9295,0.5445,49.75,29.18
2014,140.012293,36.0123128,0.8636,0.5511,50.13,29.15
2015,140.053958,36.0123128,0.7855,0.5257,50.61,29.26
2016,140.095623,36.0123128,0.6877,0.5315,50.21,29.03
2017,140.137288,36.0123128,0.6796,0.539,50.78,29.36
2018,140.178953,36.0123128,0.6993,0.5403,50.92,28.33
2019,140.220618,36.0123128,0.7802,0.556,49.28,28.67
2020,140.262283,36.0123128,0.8773,0.544,50.37,28.03
2021,140.303948,36.0123128,0.9824,0.499,49.41,28.53
2022,140.345613,36.0123128,1.064,0.5098,49.35,29.14
2023,140.387278,36.0123128,1.051,0.5304,50.71,29.39
2024,140.428943,36.0123128,0.9665,0.5474,49.7,28.97
2025,140.470608,36.0123128,0.9021,0.5548,50.02,29.03
2026,140.512273,36.0123128,0.8408,0.5644,49.44,27.81
2027,140.553938,36.0123128,0.7582,0.6014,52.08,29.24
2028,140.595603,36.0123128,0.6768,0.611,50.25,28.71
2029,140.637268,36.0123128,0.6365,0.6203,50.3,28.9
2030,140.678933,36.0123128,0.5465,0.6394,51.21,28.84
2031,140.720598,36.0123128,0.4586,0.6716,49.67,28.64
2032,140.762263,36.0123128,0.3546,0.6504,49.37,29.37
2033,140.803928,36.0123128,0.2712,0.6456,50.25,29.63
2034,140.845593,36.0123128,0.2403,0.6296,48.9,28.71
2035,140.887258,36.0123128,0.2122,0.6224,49.23,28.31
2036,140.928923,36.0123128,0.1817,0.6388,50.4,28.99
2037,140.970588,36.0123128,0.2043,0.6118,50.82,29.39
2038,141.012253,36.0123128,0.2129,0.6073,49.94,28.83
2039,141.053918,36.0123128,0.1856,0.6531,49.06,28.95
2040,141.095583,36.0123128,0.1904,0.7234,49.62,28.53
2041,138.304028,36.0539778,-0.09296,0.7629,51.17,29.64
2042,138.345693,36.0539778,-0.1224,0.7222,50.64,29.66
2043,138.387358,36.0539778,-0.1167,0.6856,49.65,28.98
2044,138.429023,36.0539778,-0.1505,0.6576,49.84,28.39
2045,138.470688,36.0539778,-0.1783,0.6306,48.89,28.56
2046,138.512353,36.0539778,-0.2331,0.6225,50.36,29.08
2047,138.554018,36.0539778,-0.2679,0.579,49.66,29.12
2048,138.595683,36.0539778,-0.2924,0.5676,48.55,28.3
2049,138.637348,36.0539778,-0.3279,0.5859,50.04,29.07
2050,138.679013,36.0539778,-0.3759,0.5775,50.31,29.91
2051,138.720678,36.0539778,-0.4198,0.5705,49.25,29.46
2052,138.762343,36.0539778,-0.4192,0.5816,48.51,28.9
2053,138.804008,36.0539778,-0.4148,0.5835,49.89,28.33
2054,138.845673,36.0539778,-0.4339,0.5395,49.22,29.26
2055,138.887338,36.0539778,-0.4068,0.5168,50.91,29.41
2056,138.929003,36.0539778,-0.3939,0.5043,50.03,28.53
2057,138.970668,36.0539778,-0.3769,0.4653,48.94,28.34
2058,139.012333,36.0539778,-0.4386,0.4815,49.69,29.25
2059,139.053998,36.0539778,-0.4885,0.4508,48.45,28.69
2060,139.095663,36.0539778,-0.5777,0.05039,0.3987,0.03813
2061,139.137328,36.0539778,-0.4402,0.4522,49.44,29.28
2062,139.178993,36.0539778,-0.337,0.4888,50.81,28.69
2063,139.220658,36.0539778,-0.2635,0.498,48.04,28.05
2064,139.262323,36.0539778,-0.1318,0.4927,48.82,29.18
2065,139.303988,36.0539778,0.05631,0.4767,49.98,28.31
2066,139.345653,36.0539778,0.1177,0.5028,49.67,28.95
2067,139.387318,36.0539778,0.1802,0.535,50.26,29.22
2068,139.428983,36.0539778,0.2213,0.5347,50.47,27.76
2069,139.470648,36.0539778,0.2424,0.5701,49.66,28.44
2070,139.512313,36.0539778,0.2477,0.5669,49.01,29.08
2071,139.553978,36.0539778,0.223,0.5688,49.08,29.48
2072,139.595643,36.0539778,0.2297,0.5616,48.92,29.15
2073,139.637308,36.0539778,0.2757,0.5523,51.2,30.05
2074,139.678973,36.0539778,0.3075,0.5688,51.25,28.62
2075,139.720638,36.0539778,0.3441,0.5809,49.27,28.73
2076,139.762303,36.0539778,0.4093,0.6024,48.78,29.31
2077,139.803968,36.0539778,0.5186,0.5904,50.12,28.92
2078,139.845633,36.0539778,0.6108,0.6103,48.31,28.63
2079,139.887298,36.0539778,0.7804,0.5673,50.34,28.81
2080,139.928963,36.0539778,0.9828,0.4968,50.21,29.02
2081,139.970628,36.0539778,1.186,0.4713,50.06,28.29
2082,140.012293,36.0539778,0.9701,0.515,49.39,27.88
2083,140.053958,36.0539778,0.8011,0.516,50.59,28.66
2084,140.095623,36.0539778,0.6691,0.5315,50.01,29.22
2085,140.137288,36.0539778,0.6304,0.5443,47.8,28.59
2086,140.178953,36.0539778,0.6475,0.528,49.5,29.3
2087,140.220618,36.0539778,0.7252,0.5312,49.55,29.12
2088,140.262283,36.0539778,0.7908,0.4999,51.34,29.77
2089,140.303948,36.0539778,0.8599,0.4485,50.82,28.96
2090,140.345613,36.0539778,0.927,0.4853,49.95,28.8
2091,140.387278,36.0539778,0.8975,0.5062,50.44,28.72
2092,140.428943,36.0539778,0.8441,0.5386,46.77,28.25
2093,140.470608,36.0539778,0.7698,0.5654,48.35,28.89
2094,140.512273,36.0539778,0.7233,0.5497,50.59,28.43
2095,140.553938,36.0539778,0.6764,0.5828,51.34,28.64
2096,140.595603,36.0539778,0.616,0.5865,51.44,28.91
2097,140.637268,36.0539778,0.5816,0.621,50.93,28.49
2098,140.678933,36.0539778,0.494,0.638,50.92,29.24
2099,140.720598,36.0539778,0.4356,0.6771,48.4,28.8
2100,140.762263,36.0539778,0.3201,0.6807,50.31,29.22
2101,140.803928,36.0539778,0.2457,0.6887,52.6,28.59
2102,140.845593,36.0539778,0.217,0.6725,49.77,29.15
2103,140.887258,36.0539778,0.1713,0.6622,49.75,28.6
2104,140.928923,36.0539778,0.1932,0.657,50.71,28
2105,140.970588,36.0539778,0.2085,0.6497,49.97,28.3
2106,141.012253,36.0539778,0.2067,0.6437,49.7,28.34
2107,141.053918,36.0539778,0.1663,0.6762,48.42,28.97
2108,141.095583,36.0539778,0.1963,0.7327,51.23,29.24
2109,138.304028,36.0956428,-0.0292,0.7673,48.21,28.46
2110,138.345693,36.0956428,-0.04697,0.7294,49.95,28.87
2111,138.387358,36.0956428,-0.08301,0.682,49.37,28.52
2112,138.429023,36.0956428,-0.1177,0.6403,49.91,29.16
2113,138.470688,36.0956428,-0.1475,0.6351,49.72,28.62
2114,138.512353,36.0956428,-0.212,0.5915,49.7,29.48
2115,138.554018,36.0956428,-0.2486,0.5598,49.81,29.11
2116,138.595683,36.0956428,-0.2669,0.526,50.59,28.78
2117,138.637348,36.0956428,-0.32,0.5471,49.91,29.45
2118,138.679013,36.0956428,-0.4032,0.5645,49.57,28.81
2119,138.720678,36.0956428,-0.4542,0.5567,49.7,28.7
2120,138.762343,36.0956428,-0.4442,0.5712,51.28,28.5
2121,138.804008,36.0956428,-0.428,0.5742,47.96,29.19
2122,138.845673,36.0956428,-0.4143,0.5612,49.48,29.03
2123,138.887338,36.0956428,-0.3836,0.5013,50.54,28.75
2124,138.929003,36.0956428,-0.3451,0.4533,49.74,28.44
2125,138.970668,36.0956428,-0.3527,0.4887,48.67,28.87
2126,139.012333,36.0956428,-0.4133,0.487,50.24,29.75
2127,139.053998,36.0956428,-0.4402,0.4625,50.86,28.64
2128,139.095663,36.0956428,-0.4196,0.439,49.53,28.45
2129,139.137328,36.0956428,-0.3306,0.4887,50.71,28.93
2130,139.178993,36.0956428,-0.2371,0.5109,50.63,29.09
2131,139.220658,36.0956428,-0.154,0.4933,47.32,28.63
2132,139.262323,36.0956428,-0.004274,0.4548,50.48,29.48
2133,139.303988,36.0956428,0.2916,0.07215,0.4482,0.05013
2134,139.345653,36.0956428,0.1992,0.4731,49.99,28.26
2135,139.387318,36.0956428,0.1836,0.5363,50.13,29.02
2136,139.428983,36.0956428,0.1993,0.5412,49.15,28.99
2137,139.470648,36.0956428,0.1719,0.564,50.18,28.54
2138,139.512313,36.0956428,0.2026,0.538,51.45,29.47
2139,139.553978,36.0956428,0.1641,0.5422,50.47,28.61
2140,139.595643,36.0956428,0.1942,0.5529,51.88,29.17
2141,139.637308,36.0956428,0.1971,0.5771,52.38,28.62
2142,139.678973,36.0956428,0.2453,0.5964,49.51,29.09
2143,139.720638,36.0956428,0.2732,0.5763,49.55,28.51
2144,139.762303,36.0956428,0.3284,0.614,50.93,28.48
2145,139.803968,36.0956428,0.441,0.6246,49.35,28.79
2146,139.845633,36.0956428,0.5823,0.6056,49.12,29.87
2147,139.887298,36.0956428,0.7916,0.5554,50.11,28.57
2148,139.928963,36.0956428,1.121,0.4705,49.93,29
2149,139.970628,36.0956428,1.858,0.06369,0.4807,0.04832
2150,140.012293,36.0956428,1.097,0.456,50.17,29.21
2151,140.053958,36.0956428,0.745,0.4954,50.29,28.58
2152,140.095623,36.0956428,0.5604,0.5038,50.28,28.95
2153,140.137288,36.0956428,0.5134,0.5178,49.73,29.28
2154,140.178953,36.0956428,0.5341,0.531,48.51,28.87
2155,140.220618,36.0956428,0.6276,0.5261,50.64,29.22
2156,140.262283,36.0956428,0.6931,0.461,50.53,27.97
2157,140.303948,36.0956428,0.7715,0.05048,0.3977,0.03728
2158,140.345613,36.0956428,0.811,0.4469,49.49,29.55
2159,140.387278,36.0956428,0.7921,0.522,50.63,28.76
2160,140.428943,36.0956428,0.7398,0.5494,50.46,29.2
2161,140.470608,36.0956428,0.6893,0.5388,50.25,28.79
2162,140.512273,36.0956428,0.6301,0.5642,47.98,29.11
2163,140.553938,36.0956428,0.5871,0.5656,49.89,29.24
2164,140.595603,36.0956428,0.5391,0.5754,50.3,29.34
2165,140.637268,36.0956428,0.4993,0.5843,51.85,28.74
2166,140.678933,36.0956428,0.442,0.6314,50.72,28.74
2167,140.720598,36.0956428,0.3718,0.6857,52.37,29.35
2168,140.762263,36.0956428,0.2933,0.6747,48.2,28.29
2169,140.803928,36.0956428,0.2372,0.6977,49.52,28.18
2170,140.845593,36.0956428,0.1847,0.6806,49.68,28.64
2171,140.887258,36.0956428,0.1581,0.6782,50.3,29.16
2172,140.928923,36.0956428,0.1784,0.6761,49.71,29.1
2173,140.970588,36.0956428,0.1924,0.6518,51.02,29.48
2174,141.012253,36.0956428,0.1797,0.6428,50.28,28.29
2175,141.053918,36.0956428,0.1515,0.676,50.27,28.28
2176,141.095583,36.0956428,0.1532,0.754,49.66,29.02
2177,138.304028,36.1373078,0.007842,0.7778,50.88,28.97
2178,138.345693,36.1373078,-0.03222,0.6914,48.8,29.31
2179,138.387358,36.1373078,-0.06627,0.6714,48.53,28.48
2180,138.429023,36.1373078,-0.09272,0.6478,48.79,28.86
2181,138.470688,36.1373078,-0.1046,0.6182,50.48,29.21
2182,138.512353,36.1373078,-0.1656,0.5893,50.83,29.78
2183,138.554018,36.1373078,-0.2086,0.5798,49.77,28.94
2184,138.595683,36.1373078,-0.2701,0.5306,49.9,28.93
2185,138.637348,36.1373078,-0.3136,0.515,48.95,28.61
2186,138.679013,36.1373078,-0.4119,0.5236,47.88,28.74
2187,138.720678,36.1373078,-0.4706,0.544,49.75,29.47
2188,138.762343,36.1373078,-0.4714,0.5419,51.36,28.82
2189,138.804008,36.1373078,-0.4258,0.5629,51.75,29.17
2190,138.845673,36.1373078,-0.3786,0.553,50.92,28.7
2191,138.887338,36.1373078,-0.3492,0.4742,51.09,28.78
2192,138.929003,36.1373078,-0.2955,0.1028,0.5901,0.078
2193,138.970668,36.1373078,-0.2985,0.4605,50.3,29.02
2194,139.012333,36.1373078,-0.3521,0.448,51.31,28.98
2195,139.053998,36.1373078,-0.5293,0.05703,0.4282,0.03919
2196,139.095663,36.1373078,-0.3394,0.4304,49.49,29.01
2197,139.137328,36.1373078,-0.2302,0.486,49.57,28.48
2198,139.178993,36.1373078,-0.1518,0.4887,49.18,28.86
2199,139.220658,36.1373078,-0.111,0.5012,50.77,28.58
2200,139.262323,36.1373078,-0.02414,0.4829,49,28.65
2201,139.303988,36.1373078,0.1068,0.4626,50.75,29.12
2202,139.345653,36.1373078,0.1415,0.5065,49.82,29.15
2203,139.387318,36.1373078,0.133,0.5478,49.17,28.63
2204,139.428983,36.1373078,0.1154,0.5288,49.03,28.72
2205,139.470648,36.1373078,0.08911,0.5432,51.03,29.06
2206,139.512313,36.1373078,0.1035,0.5365,49.44,29.38
2207,139.553978,36.1373078,0.1022,0.5468,50.48,28.58
2208,139.595643,36.1373078,0.1242,0.5764,49.69,29.08
2209,139.637308,36.1373078,0.1537,0.5863,51.62,29.2
2210,139.678973,36.1373078,0.183,0.5659,50.5,28.96
2211,139.720638,36.1373078,0.1898,0.5925,51.09,29.18
2212,139.762303,36.1373078,0.2654,0.6006,50.54,28.21
2213,139.803968,36.1373078,0.3725,0.6224,52,28.86
2214,139.845633,36.1373078,0.5209,0.5878,48.34,29.28
2215,139.887298,36.1373078,0.7112,0.5644,49.99,28.66
2216,139.928963,36.1373078,0.9015,0.5265,49.91,28.7
2217,139.970628,36.1373078,1.088,0.4759,50.21,28.44
2218,140.012293,36.1373078,0.7937,0.4817,51.83,29.29
2219,140.053958,36.1373078,0.5358,0.4894,50.89,28.67
2220,140.095623,36.1373078,0.3366,0.5082,50.4,29.15
2221,140.137288,36.1373078,0.3398,0.5075,49.33,29.37
2222,140.178953,36.1373078,0.4079,0.5259,48.07,28.55
2223,140.220618,36.1373078,0.5083,0.5361,49.47,28.59
2224,140.262283,36.1373078,0.5909,0.505,51.33,29.54
2225,140.303948,36.1373078,0.6624,0.4668,49.6,28.69
2226,140.345613,36.1373078,0.6675,0.5148,50.59,29.32
2227,140.387278,36.1373078,0.6474,0.5511,51,29.12
2228,140.428943,36.1373078,0.5994,0.5773,50.42,28.83
2229,140.470608,36.1373078,0.5826,0.5916,50.77,29.14
2230,140.512273,36.1373078,0.5273,0.5568,49.4,29.01
2231,140.553938,36.1373078,0.5176,0.5418,49.93,28.92
2232,140.595603,36.1373078,0.4567,0.5499,49.52,28.65
2233,140.637268,36.1373078,0.41,0.5925,50.11,28.97
2234,140.678933,36.1373078,0.3519,0.6308,49.85,29.23
2235,140.720598,36.1373078,0.286,0.6606,50.26,28.71
2236,140.762263,36.1373078,0.2489,0.6676,50.45,28.91
2237,140.803928,36.1373078,0.2333,0.7213,48.7,28.63
2238,140.845593,36.1373078,0.1912,0.7214,50.2,28.52
2239,140.887258,36.1373078,0.1928,0.7028,50.64,29.55
2240,140.928923,36.1373078,0.1965,0.7031,49.63,29.15
2241,140.970588,36.1373078,0.204,0.661,49.24,29.22
2242,141.012253,36.1373078,0.1551,0.6624,50.34,28.26
2243,141.053918,36.1373078,0.1309,0.7157,50,29.48
2244,141.095583,36.1373078,0.1553,0.7864,49.77,28.25
2245,138.304028,36.1789728,0.0435,0.811,48.71,28.11
2246,138.345693,36.1789728,0.01997,0.7126,51.79,28.61
2247,138.387358,36.1789728,-0.02179,0.6646,50.45,28.66
2248,138.429023,36.1789728,-0.07769,0.6131,49.5,28.48
2249,138.470688,36.1789728,-0.08634,0.604,50.33,28.49
2250,138.512353,36.1789728,-0.1534,0.5957,50.82,29.05
2251,138.554018,36.1789728,-0.1922,0.5727,51.33,28.8
2252,138.595683,36.1789728,-0.2604,0.5563,50.47,28.78
2253,138.637348,36.1789728,-0.331,0.5255,51.78,28.99
2254,138.679013,36.1789728,-0.4605,0.4963,50.84,28.74
2255,138.720678,36.1789728,-0.5903,0.4915,50.02,29.2
2256,138.762343,36.1789728,-0.5255,0.5138,51.28,28.38
2257,138.804008,36.1789728,-0.4233,0.5333,49.08,28.49
2258,138.845673,36.1789728,-0.3365,0.5162,50.58,28.87
2259,138.887338,36.1789728,-0.271,0.4819,49.37,28.15
2260,138.929003,36.1789728,-0.2333,0.4448,49.84,29.41
2261,138.970668,36.1789728,-0.2187,0.4995,50.97,28.88
2262,139.012333,36.1789728,-0.2452,0.4917,50.74,27.68
2263,139.053998,36.1789728,-0.2586,0.4578,49.54,28.63
2264,139.095663,36.1789728,-0.1703,0.4743,49.59,29.13
2265,139.137328,36.1789728,-0.0817,0.4886,50.14,28.3
2266,139.178993,36.1789728,-0.06228,0.5083,51.05,29.78
2267,139.220658,36.1789728,-0.04767,0.5107,51.75,28.8
2268,139.262323,36.1789728,-0.01241,0.5035,48.45,28.47
2269,139.303988,36.1789728,0.05314,0.522,50.32,28.49
2270,139.345653,36.1789728,0.08433,0.5432,49.42,28.79
2271,139.387318,36.1789728,0.05703,0.5682,49,28.89
2272,139.428983,36.1789728,0.05639,0.5612,50.51,28.85
2273,139.470648,36.1789728,0.05056,0.5347,50.62,28.64
2274,139.512313,36.1789728,0.07066,0.5203,48.62,28.06
2275,139.553978,36.1789728,0.06453,0.5479,49.63,29.42
2276,139.595643,36.1789728,0.09408,0.5929,50.52,28.77
2277,139.637308,36.1789728,0.1237,0.5733,53.16,28.66
2278,139.678973,36.1789728,0.1713,0.5967,50.6,28.59
2279,139.720638,36.1789728,0.1662,0.5975,50.88,28.93
2280,139.762303,36.1789728,0.2142,0.6057,50.84,29.02
2281,139.803968,36.1789728,0.2824,0.6087,49.57,28.7
2282,139.845633,36.1789728,0.4125,0.5972,51.49,28.52
2283,139.887298,36.1789728,0.5669,0.5812,51.35,28.84
2284,139.928963,36.1789728,0.6743,0.5688,50.41,28.73
2285,139.970628,36.1789728,0.7008,0.5282,49.49,29.18
2286,140.012293,36.1789728,0.5288,0.521,49.77,29.23
2287,140.053958,36.1789728,0.2768,0.5122,49.99,29.31
2288,140.095623,36.1789728,-0.004785,0.4653,49.43,29.22
2289,140.137288,36.1789728,0.1233,0.4947,49.87,28.19
2290,140.178953,36.1789728,0.2903,0.5252,49.2,28.86
2291,140.220618,36.1789728,0.4221,0.5772,51.43,28.93
2292,140.262283,36.1789728,0.4863,0.5725,50.19,28.47
2293,140.303948,36.1789728,0.5066,0.5393,48.71,28.68
2294,140.345613,36.1789728,0.5111,0.5489,48.97,28.79
2295,140.387278,36.1789728,0.5186,0.5636,49.14,28.68
2296,140.428943,36.1789728,0.5017,0.5869,50.93,29.41
2297,140.470608,36.1789728,0.4655,0.5924,49.63,29.39
2298,140.512273,36.1789728,0.4374,0.5811,50.5,28.79
2299,140.553938,36.1789728,0.4319,0.5647,50.56,28.95
2300,140.595603,36.1789728,0.4045,0.5696,48.08,28.64
2301,140.637268,36.1789728,0.3467,0.5847,49.89,29.01
2302,140.678933,36.1789728,0.2727,0.5948,50.65,28.76
2303,140.720598,36.1789728,0.2413,0.642,50.65,29.13
2304,140.762263,36.1789728,0.2263,0.6518,47.52,28.11
2305,140.803928,36.1789728,0.2086,0.7274,49.52,28.63
2306,140.845593,36.1789728,0.2103,0.7173,51.59,28.66
2307,140.887258,36.1789728,0.1915,0.7264,51.37,29.2
2308,140.928923,36.1789728,0.2009,0.7346,49.37,28.57
2309,140.970588,36.1789728,0.2122,0.703,50.73,28.65
2310,141.012253,36.1789728,0.1649,0.6923,49.64,28.5
2311,141.053918,36.1789728,0.1478,0.7428,48.61,28.76
2312,141.095583,36.1789728,0.1413,0.7727,49.32,28.59
2313,138.304028,36.2206378,0.09164,0.7897,51.61,28.52
2314,138.345693,36.2206378,0.05039,0.6818,50.77,28.45
2315,138.387358,36.2206378,0.0478,0.6473,50.58,29.35
2316,138.429023,36.2206378,-0.01356,0.6116,50.39,29.28
2317,138.470688,36.2206378,-0.05584,0.6155,50.56,29.39
2318,138.512353,36.2206378,-0.09845,0.5849,48.76,28.26
2319,138.554018,36.2206378,-0.1539,0.5769,51.56,29.17
2320,138.595683,36.2206378,-0.2165,0.589,50.79,28.69
2321,138.637348,36.2206378,-0.3456,0.5505,51.49,28.95
2322,138.679013,36.2206378,-0.5578,0.469,50.86,29.14
2323,138.720678,36.2206378,-0.9339,0.1202,0.5629,0.09662
2324,138.762343,36.2206378,-0.5954,0.4666,49.85,29.1
2325,138.804008,36.2206378,-0.4131,0.5197,49.24,29.03
2326,138.845673,36.2206378,-0.305,0.4964,51.64,29.12
2327,138.887338,36.2206378,-0.2132,0.4873,51.24,29.59
2328,138.929003,36.2206378,-0.1471,0.4582,51.96,29.23
2329,138.970668,36.2206378,-0.1435,0.4696,49.13,29.09
2330,139.012333,36.2206378,-0.1467,0.4917,51.78,29.45
2331,139.053998,36.2206378,-0.1401,0.5061,51.06,29.05
2332,139.095663,36.2206378,-0.07645,0.4967,50.4,28.49
2333,139.137328,36.2206378,0.003769,0.5133,50.63,29.47
2334,139.178993,36.2206378,0.0477,0.5084,50.64,28.37
2335,139.220658,36.2206378,0.02976,0.5171,49.28,28.13
2336,139.262323,36.2206378,0.01336,0.5127,50.51,29.21
2337,139.303988,36.2206378,0.02248,0.5361,51.27,28.24
2338,139.345653,36.2206378,0.008596,0.5519,50.14,28.85
2339,139.387318,36.2206378,0.006115,0.5474,49.08,28.19
2340,139.428983,36.2206378,0.03059,0.5371,50.27,28.83
2341,139.470648,36.2206378,0.02463,0.5416,49.78,28.74
2342,139.512313,36.2206378,0.03058,0.5473,51.29,29.45
2343,139.553978,36.2206378,0.04959,0.5752,47.86,28.54
2344,139.595643,36.2206378,0.0716,0.582,49.26,28.58
2345,139.637308,36.2206378,0.1124,0.5717,49.45,28.41
2346,139.678973,36.2206378,0.162,0.5996,49.51,28.76
2347,139.720638,36.2206378,0.1562,0.6532,48.71,28.8
2348,139.762303,36.2206378,0.1894,0.6116,51.22,28.9
2349,139.803968,36.2206378,0.2284,0.6054,50.93,29.24
2350,139.845633,36.2206378,0.3168,0.5893,49.86,28.68
2351,139.887298,36.2206378,0.4333,0.6019,49.22,28.28
2352,139.928963,36.2206378,0.4967,0.5694,49.43,29.35
2353,139.970628,36.2206378,0.4467,0.5554,49.96,29.24
2354,140.012293,36.2206378,0.3159,0.5286,49.91,29.32
2355,140.053958,36.2206378,-0.02457,0.4611,48.24,27.48
2356,140.095623,36.2206378,-0.7632,0.04514,0.4442,0.02998
2357,140.137288,36.2206378,-0.0999,0.4539,49.97,28.64
2358,140.178953,36.2206378,0.1667,0.5291,51.7,28.73
2359,140.220618,36.2206378,0.3069,0.5735,49.79,28.64
2360,140.262283,36.2206378,0.3685,0.585,48.48,29.17
2361,140.303948,36.2206378,0.3994,0.5949,50.87,28.76
2362,140.345613,36.2206378,0.4282,0.5602,49.89,29.37
2363,140.387278,36.2206378,0.4236,0.573,50.21,29.14
2364,140.428943,36.2206378,0.4034,0.5574,48.79,29.04
2365,140.470608,36.2206378,0.3746,0.5815,50.18,28.55
2366,140.512273,36.2206378,0.359,0.5921,48.62,28.84
2367,140.553938,36.2206378,0.342,0.5746,51.55,28.26
2368,140.595603,36.2206378,0.3256,0.5565,49.13,29.04
2369,140.637268,36.2206378,0.3031,0.5801,50.37,28.23
2370,140.678933,36.2206378,0.2559,0.5897,50.13,29.21
2371,140.720598,36.2206378,0.2264,0.5969,49.7,28.91
2372,140.762263,36.2206378,0.2303,0.6223,51.66,28.98
2373,140.803928,36.2206378,0.2005,0.6622,51.37,29.19
2374,140.845593,36.2206378,0.1812,0.6878,50.28,29.36
2375,140.887258,36.2206378,0.1902,0.6897,51.51,28.99
2376,140.928923,36.2206378,0.2073,0.7165,50.81,28.39
2377,140.970588,36.2206378,0.1919,0.7317,51.91,28.63
2378,141.012253,36.2206378,0.1609,0.7075,48.42,29.19
2379,141.053918,36.2206378,0.1275,0.7224,51.8,29.31
2380,141.095583,36.2206378,0.1153,0.7876,50.28,28.71
2381,138.304028,36.2623028,0.1197,0.7641,49.65,29.04
2382,138.345693,36.2623028,0.1121,0.6756,50.43,29.24
2383,138.387358,36.2623028,0.1203,0.6599,49.77,28.54
2384,138.429023,36.2623028,0.06101,0.6286,49.78,29.63
2385,138.470688,36.2623028,0.01678,0.5989,48.63,28.44
2386,138.512353,36.2623028,-0.03859,0.5928,48.93,28.07
2387,138.554018,36.2623028,-0.1145,0.5805,49.79,28.64
2388,138.595683,36.2623028,-0.1915,0.577,49.6,28.92
2389,138.637348,36.2623028,-0.2964,0.5656,50.51,28.52
2390,138.679013,36.2623028,-0.417,0.5298,50.87,28.47
2391,138.720678,36.2623028,-0.5617,0.4864,49.84,28.79
2392,138.762343,36.2623028,-0.4918,0.511,50.55,29.15
2393,138.804008,36.2623028,-0.3753,0.5003,49.34,29.48
2394,138.845673,36.2623028,-0.2755,0.4932,51.98,28.9
2395,138.887338,36.2623028,-0.1699,0.4766,50.98,29.82
2396,138.929003,36.2623028,-0.00351,0.08652,0.4951,0.0628
2397,138.970668,36.2623028,-0.09845,0.4541,50.12,28.57
2398,139.012333,36.2623028,-0.1209,0.4885,49.73,28.33
2399,139.053998,36.2623028,-0.08691,0.5244,50.63,28.19
2400,139.095663,36.2623028,-0.01444,0.5163,49.29,29.09
2401,139.137328,36.2623028,0.1264,0.4896,50.61,28.51
2402,139.178993,36.2623028,0.2543,0.4452,51.28,28.75
2403,139.220658,36.2623028,0.1095,0.504,49.33,28.66
2404,139.262323,36.2623028,0.03029,0.5292,51.68,28.7
2405,139.303988,36.2623028,-0.03221,0.5483,50.5,28.26
2406,139.345653,36.2623028,-0.04908,0.5617,51.73,28.53
2407,139.387318,36.2623028,-0.04358,0.5483,50.41,29.59
2408,139.428983,36.2623028,-0.02755,0.5551,50.44,28.54
2409,139.470648,36.2623028,0.01373,0.5535,49.9,28.68
2410,139.512313,36.2623028,0.01831,0.5536,48.9,28.74
2411,139.553978,36.2623028,0.02161,0.6225,51.5,28.66
2412,139.595643,36.2623028,0.06631,0.6127,49.74,28.26
2413,139.637308,36.2623028,0.103,0.5778,49.95,29.5
2414,139.678973,36.2623028,0.1355,0.5993,48.56,28.86
2415,139.720638,36.2623028,0.1479,0.6132,50.35,29.01
2416,139.762303,36.2623028,0.1941,0.6038,50.67,29.3
2417,139.803968,36.2623028,0.2345,0.5919,51.43,29.03
2418,139.845633,36.2623028,0.2874,0.5841,50.81,28.51
2419,139.887298,36.2623028,0.3392,0.5999,49.77,29.29
2420,139.928963,36.2623028,0.3859,0.5956,49.32,28.5
2421,139.970628,36.2623028,0.3654,0.5771,51.22,28.64
2422,140.012293,36.2623028,0.295,0.5446,51.1,28.74
2423,140.053958,36.2623028,0.1209,0.5067,50.61,28.98
2424,140.095623,36.2623028,-0.1252,0.4551,49.55,29.39
2425,140.137288,36.2623028,0.02926,0.4772,49.8,28.83
2426,140.178953,36.2623028,0.1658,0.5135,48.95,28.87
2427,140.220618,36.2623028,0.2486,0.5455,49.28,28.97
2428,140.262283,36.2623028,0.2824,0.5802,50.15,28.93
2429,140.303948,36.2623028,0.3079,0.5999,50.38,28.55
2430,140.345613,36.2623028,0.307,0.5983,50.1,29.5
2431,140.387278,36.2623028,0.3217,0.5944,50.45,28.96
2432,140.428943,36.2623028,0.329,0.5814,50.79,29.49
2433,140.470608,36.2623028,0.3174,0.5848,51.57,29.48
2434,140.512273,36.2623028,0.2829,0.59,51.63,29.5
2435,140.553938,36.2623028,0.2657,0.5537,49.63,29.42
2436,140.595603,36.2623028,0.2377,0.5572,51.15,28.91
2437,140.637268,36.2623028,0.2099,0.5564,51.68,28.98
2438,140.678933,36.2623028,0.1747,0.5667,48.94,28.12
2439,140.720598,36.2623028,0.1749,0.5861,49.09,29.51
